Timestamp,Temperature (°C)
2025-02-04T14:43:27.798417+00:00, 22.44
2025-02-04T14:43:29.743465+00:00, 22.44
2025-02-04T14:43:31.791301+00:00, 22.44
2025-02-04T14:43:33.839952+00:00, 22.44
2025-02-04T14:43:35.785212+00:00, 22.44
2025-02-04T14:43:37.833151+00:00, 22.44
2025-02-04T14:43:39.779143+00:00, 22.50
2025-02-04T14:43:41.826882+00:00, 22.50
2025-02-04T14:43:43.772971+00:00, 22.44
2025-02-04T14:43:45.821012+00:00, 22.44
2025-02-04T14:43:47.766257+00:00, 22.44
2025-02-04T14:43:49.814483+00:00, 22.50
2025-02-04T14:43:51.759721+00:00, 22.44
2025-02-04T14:43:53.808559+00:00, 22.50
2025-02-04T14:43:55.753865+00:00, 22.44
2025-02-04T14:43:57.801651+00:00, 22.44
2025-02-04T14:43:59.747138+00:00, 22.44
2025-02-04T14:44:01.795775+00:00, 22.44
2025-02-04T14:44:08.041903+00:00, 22.50
2025-02-04T14:44:08.169958+00:00, 22.44
2025-02-04T14:44:08.170858+00:00, 22.50
2025-02-04T14:44:09.782571+00:00, 22.44
2025-02-04T14:44:11.831022+00:00, 22.50
2025-02-04T14:44:13.776737+00:00, 22.44
2025-02-04T14:44:15.824728+00:00, 22.50
2025-02-04T14:44:17.770019+00:00, 22.44
2025-02-04T14:44:19.818420+00:00, 22.50
2025-02-04T14:44:21.763677+00:00, 22.50
2025-02-04T14:44:23.811673+00:00, 22.50
2025-02-04T14:44:25.757280+00:00, 22.50
2025-02-04T14:44:27.805331+00:00, 22.50
2025-02-04T14:44:29.751067+00:00, 22.50
2025-02-04T14:44:31.744297+00:00, 22.50
2025-02-04T14:44:33.744834+00:00, 22.50
2025-02-04T14:44:35.792667+00:00, 22.50
2025-02-04T14:44:37.738320+00:00, 22.50
2025-02-04T14:44:39.786449+00:00, 22.50
2025-02-04T14:44:41.732448+00:00, 22.44
2025-02-04T14:44:43.780361+00:00, 22.50
2025-02-04T14:44:45.828038+00:00, 22.44
2025-02-04T14:44:47.774004+00:00, 22.44
2025-02-04T14:44:49.822255+00:00, 22.44
2025-02-04T14:44:51.767349+00:00, 22.44
2025-02-04T14:47:51.790411+00:00, 22.50
2025-02-04T14:47:53.838639+00:00, 22.50
2025-02-04T14:47:55.733924+00:00, 22.56
2025-02-04T14:47:57.832074+00:00, 22.50
2025-02-04T14:47:59.777309+00:00, 22.50
2025-02-04T14:48:01.825476+00:00, 22.50
2025-02-04T14:48:03.771326+00:00, 22.56
2025-02-04T14:48:05.819519+00:00, 22.50
2025-02-04T14:48:07.764847+00:00, 22.56
2025-02-04T14:48:09.812914+00:00, 22.50
2025-02-04T14:48:11.759010+00:00, 22.50
2025-02-04T14:48:13.806488+00:00, 22.50
2025-02-04T14:48:15.752513+00:00, 22.50
2025-02-04T14:48:17.800185+00:00, 22.56
2025-02-04T14:48:19.745851+00:00, 22.50
2025-02-04T14:48:21.794085+00:00, 22.56
2025-02-04T14:49:15.862143+00:00, 22.56
2025-02-04T14:49:17.808005+00:00, 22.56
2025-02-04T14:49:19.753412+00:00, 22.56
2025-02-04T14:49:21.801783+00:00, 22.56
2025-02-04T14:49:23.747093+00:00, 22.62
2025-02-04T14:49:25.795057+00:00, 22.56
2025-02-04T14:49:27.741303+00:00, 22.56
2025-02-04T14:49:29.789306+00:00, 22.56
2025-02-04T14:49:31.836766+00:00, 22.56
2025-02-04T14:49:33.782393+00:00, 22.56
2025-02-04T14:49:35.830340+00:00, 22.56
2025-02-04T14:49:37.719347+00:00, 22.56
2025-02-04T14:49:39.824055+00:00, 22.56
2025-02-04T14:49:41.770228+00:00, 22.56
2025-02-04T14:49:43.817720+00:00, 22.56
2025-02-04T14:49:45.764181+00:00, 22.56
2025-02-04T14:49:47.811490+00:00, 22.62
2025-02-04T14:49:49.757151+00:00, 22.56
2025-02-04T14:49:56.106334+00:00, 22.62
2025-02-04T14:49:56.222909+00:00, 22.62
2025-02-04T14:49:56.224188+00:00, 22.62
2025-02-04T14:49:57.744970+00:00, 22.62
2025-02-04T14:49:59.792442+00:00, 22.62
2025-02-04T14:50:01.738782+00:00, 22.62
2025-02-04T14:50:08.087062+00:00, 22.62
2025-02-04T14:50:08.204118+00:00, 22.62
2025-02-04T14:50:08.205263+00:00, 22.62
2025-02-04T14:50:09.828023+00:00, 22.62
2025-02-04T14:50:11.773892+00:00, 22.62
2025-02-04T14:50:13.822083+00:00, 22.62
2025-02-04T14:50:15.767206+00:00, 22.62
2025-02-04T14:50:17.815369+00:00, 22.62
2025-02-04T14:50:19.760849+00:00, 22.62
2025-02-04T14:50:21.808829+00:00, 22.62
2025-02-04T14:50:23.754955+00:00, 22.62
2025-02-04T14:50:25.802697+00:00, 22.62
2025-02-04T14:50:27.850653+00:00, 22.62
2025-02-04T14:50:29.796306+00:00, 22.62
2025-02-04T14:50:31.741965+00:00, 22.62
2025-02-04T14:50:33.789953+00:00, 22.62
2025-02-04T14:50:35.735931+00:00, 22.62
2025-02-04T14:50:37.783662+00:00, 22.62
2025-02-04T14:50:39.729276+00:00, 22.62
2025-02-04T14:50:41.777298+00:00, 22.62
2025-02-04T14:50:48.126156+00:00, 22.62
2025-02-04T14:50:48.166258+00:00, 22.62
2025-02-04T14:50:48.167308+00:00, 22.62
2025-02-04T14:50:49.764692+00:00, 22.62
2025-02-04T14:50:51.813131+00:00, 22.62
2025-02-04T14:50:53.758492+00:00, 22.62
2025-02-04T14:50:55.806376+00:00, 22.62
2025-02-04T14:50:57.752112+00:00, 22.62
2025-02-04T14:50:59.800046+00:00, 22.62
2025-02-04T14:51:01.745653+00:00, 22.62
2025-02-04T14:51:03.794086+00:00, 22.62
2025-02-04T14:51:05.841811+00:00, 22.62
2025-02-04T14:51:07.787476+00:00, 22.62
2025-02-04T14:51:09.733093+00:00, 22.62
2025-02-04T14:51:11.781185+00:00, 22.62
2025-02-04T14:51:13.829203+00:00, 22.62
2025-02-04T14:51:15.775163+00:00, 22.62
2025-02-04T14:51:17.923418+00:00, 22.62
2025-02-04T14:51:19.768995+00:00, 22.62
2025-02-04T14:51:21.816897+00:00, 22.62
2025-02-04T14:51:23.762090+00:00, 22.62
2025-02-04T14:51:25.754181+00:00, 22.56
2025-02-04T14:51:27.755796+00:00, 22.62
2025-02-04T14:51:29.803750+00:00, 22.62
2025-02-04T14:51:31.750147+00:00, 22.62
2025-02-04T14:51:33.798157+00:00, 22.62
2025-02-04T14:51:35.743186+00:00, 22.62
2025-02-04T14:51:37.791584+00:00, 22.56
2025-02-04T14:51:39.839225+00:00, 22.62
2025-02-04T14:51:41.784922+00:00, 22.62
2025-02-04T14:51:43.833685+00:00, 22.62
2025-02-04T14:51:45.778596+00:00, 22.62
2025-02-04T14:51:47.826665+00:00, 22.62
2025-02-04T14:51:49.772158+00:00, 22.62
2025-02-04T14:51:51.820259+00:00, 22.62
2025-02-04T14:51:53.765893+00:00, 22.62
2025-02-04T14:51:55.814001+00:00, 22.62
2025-02-04T14:51:57.759973+00:00, 22.62
2025-02-04T14:51:59.908163+00:00, 22.62
2025-02-04T14:52:01.753540+00:00, 22.62
2025-02-04T14:52:03.801808+00:00, 22.62
2025-02-04T14:52:09.843064+00:00, 22.62
2025-02-04T14:52:09.980898+00:00, 22.62
2025-02-04T14:52:09.982005+00:00, 22.62
2025-02-04T14:52:11.788992+00:00, 22.62
2025-02-04T14:52:13.734797+00:00, 22.62
2025-02-04T14:52:15.782393+00:00, 22.62
2025-02-04T14:52:17.761075+00:00, 22.81
2025-02-04T14:52:19.776487+00:00, 23.44
2025-02-04T14:52:21.824407+00:00, 23.87
2025-02-04T14:52:23.769614+00:00, 24.25
2025-02-04T14:52:25.818079+00:00, 24.50
2025-02-04T14:52:27.763935+00:00, 24.75
2025-02-04T14:52:29.811587+00:00, 24.87
2025-02-04T14:52:31.757060+00:00, 25.06
2025-02-04T14:52:33.804956+00:00, 25.19
2025-02-04T14:53:13.739156+00:00, 23.75
2025-02-04T14:53:15.789697+00:00, 23.75
2025-02-04T14:53:17.837726+00:00, 23.69
2025-02-04T14:53:19.783466+00:00, 23.69
2025-02-04T14:53:21.728949+00:00, 23.69
2025-02-04T14:53:23.777463+00:00, 23.62
2025-02-04T14:53:25.825561+00:00, 23.62
2025-02-04T14:53:27.873168+00:00, 23.56
2025-02-04T14:53:29.818829+00:00, 23.56
2025-02-04T14:53:31.764486+00:00, 23.56
2025-02-04T14:53:33.812839+00:00, 23.50
2025-02-04T14:53:35.758508+00:00, 23.50
2025-02-04T14:53:37.806090+00:00, 23.50
2025-02-04T14:53:39.751767+00:00, 23.50
2025-02-04T14:53:41.800234+00:00, 23.50
2025-02-04T14:53:43.847886+00:00, 23.50
2025-02-04T14:53:45.793904+00:00, 23.50
2025-02-04T14:53:47.841976+00:00, 23.44
2025-02-04T14:53:49.787265+00:00, 23.44
2025-02-04T14:53:51.835702+00:00, 23.50
2025-02-04T14:53:53.780937+00:00, 23.44
2025-02-04T14:53:55.828948+00:00, 23.44
2025-02-04T14:54:11.496688+00:00, 23.44
2025-02-04T14:54:14.102365+00:00, 23.44
2025-02-04T14:54:14.103507+00:00, 23.44
2025-02-04T14:54:14.103859+00:00, 23.44
2025-02-04T14:54:14.104090+00:00, 23.44
2025-02-04T14:54:14.104247+00:00, 23.38
2025-02-04T14:54:14.104397+00:00, 23.38
2025-02-04T14:54:28.492455+00:00, 23.38
2025-02-04T14:54:28.493938+00:00, 23.38
2025-02-04T14:54:28.546650+00:00, 23.38
2025-02-04T14:54:28.548194+00:00, 23.38
2025-02-04T14:54:28.548443+00:00, 23.38
2025-02-04T14:54:28.548597+00:00, 23.44
2025-02-04T14:54:28.548733+00:00, 23.38
2025-02-04T14:54:28.548887+00:00, 23.38
2025-02-04T14:54:28.549027+00:00, 23.38
2025-02-04T14:54:29.826589+00:00, 23.38
2025-02-04T14:54:31.772349+00:00, 23.31
2025-02-04T14:54:33.820234+00:00, 23.31
2025-02-04T14:54:35.765910+00:00, 23.31
2025-02-04T14:54:37.813681+00:00, 23.31
2025-02-04T14:54:39.759772+00:00, 23.31
2025-02-04T14:54:41.807366+00:00, 23.25
2025-02-04T14:54:43.753527+00:00, 23.25
2025-02-04T14:54:45.801002+00:00, 23.19
2025-02-04T14:54:47.849637+00:00, 23.19
2025-02-04T14:54:49.794761+00:00, 23.19
2025-02-04T14:54:51.740383+00:00, 23.19
2025-02-04T14:54:53.788399+00:00, 23.19
2025-02-04T14:55:04.541360+00:00, 23.19
2025-02-04T14:55:04.678386+00:00, 23.12
2025-02-04T14:55:04.679456+00:00, 23.12
2025-02-04T14:55:04.679610+00:00, 23.12
2025-02-04T14:55:04.679692+00:00, 23.12
2025-02-04T14:55:05.769736+00:00, 23.12
2025-02-04T14:55:07.817905+00:00, 23.06
2025-02-04T14:55:13.757583+00:00, 23.06
2025-02-04T14:55:15.804990+00:00, 23.06
2025-02-04T14:55:17.750621+00:00, 23.00
2025-02-04T14:55:19.799002+00:00, 23.00
2025-02-04T14:55:21.846631+00:00, 23.00
2025-02-04T14:55:23.792347+00:00, 23.00
2025-02-04T14:55:25.738101+00:00, 23.00
2025-02-04T14:55:27.786322+00:00, 23.00
2025-02-04T14:55:29.834019+00:00, 23.00
2025-02-04T15:03:59.814044+00:00, 22.50
2025-02-04T15:04:01.741579+00:00, 22.50
2025-02-04T15:04:03.789462+00:00, 22.50
2025-02-04T15:04:05.837624+00:00, 22.56
2025-02-04T15:04:07.783157+00:00, 22.50
2025-02-04T15:04:09.831245+00:00, 22.50
2025-02-04T15:04:11.777097+00:00, 22.50
2025-02-04T15:04:13.825198+00:00, 22.50
2025-02-04T15:04:15.770584+00:00, 22.50
2025-02-04T15:04:17.819166+00:00, 22.50
2025-02-04T15:04:19.867070+00:00, 22.50
2025-02-04T15:04:21.812285+00:00, 22.50
2025-02-04T15:04:23.758373+00:00, 22.50
2025-02-04T15:04:25.806370+00:00, 22.50
2025-02-04T15:04:27.751682+00:00, 22.50
2025-02-04T15:04:29.800222+00:00, 22.50
2025-02-04T15:04:31.745713+00:00, 22.50
2025-02-04T15:04:33.793365+00:00, 22.50
2025-02-04T15:04:35.841382+00:00, 22.56
2025-02-04T15:04:37.889475+00:00, 22.56
2025-02-04T15:04:39.732621+00:00, 22.56
2025-02-04T15:04:41.781270+00:00, 22.62
2025-02-04T15:04:43.829273+00:00, 22.56
2025-02-04T15:04:45.775700+00:00, 22.62
2025-02-04T15:04:47.823532+00:00, 22.62
2025-02-04T15:04:49.768181+00:00, 22.62
2025-02-04T15:04:51.816453+00:00, 22.56
2025-02-04T15:04:53.762105+00:00, 22.56
2025-02-04T15:04:55.810312+00:00, 22.56
2025-02-04T15:04:57.755853+00:00, 22.56
2025-02-04T15:04:59.803412+00:00, 22.62
2025-02-04T15:05:01.749483+00:00, 22.62
2025-02-04T15:05:03.797255+00:00, 22.62
2025-02-04T15:05:05.742996+00:00, 22.62
2025-02-04T15:05:07.791367+00:00, 22.62
2025-02-04T15:05:09.736533+00:00, 22.56
2025-02-04T15:05:11.785414+00:00, 22.62
2025-02-04T15:05:13.730336+00:00, 22.56
2025-02-04T15:05:15.779243+00:00, 22.56
2025-02-04T15:05:17.826847+00:00, 22.56
2025-02-04T15:05:19.772254+00:00, 22.56
2025-02-04T15:05:21.820327+00:00, 22.56
2025-02-04T15:05:23.766244+00:00, 22.56
2025-02-04T15:05:25.813899+00:00, 22.56
2025-02-04T15:05:27.759291+00:00, 22.56
2025-02-04T15:05:29.807320+00:00, 22.56
2025-02-04T15:05:31.752905+00:00, 22.62
2025-02-04T15:05:33.800940+00:00, 22.62
2025-02-04T15:05:35.746405+00:00, 22.62
2025-02-04T15:05:37.794569+00:00, 22.62
2025-02-04T15:05:43.836581+00:00, 22.56
2025-02-04T15:05:45.782012+00:00, 22.62
2025-02-04T15:05:47.830355+00:00, 22.62
2025-02-04T15:05:49.776043+00:00, 22.62
2025-02-04T15:05:51.824993+00:00, 22.62
2025-02-04T15:05:53.769423+00:00, 22.62
2025-02-04T15:05:55.817623+00:00, 22.56
2025-02-04T15:05:57.865731+00:00, 22.62
2025-02-04T15:05:59.811060+00:00, 22.62
2025-02-04T15:06:01.756906+00:00, 22.56
2025-02-04T15:06:03.805285+00:00, 22.56
2025-02-04T15:06:05.853390+00:00, 22.56
2025-02-04T15:06:07.798320+00:00, 22.56
2025-02-04T15:06:09.744298+00:00, 22.56
2025-02-04T15:06:11.792467+00:00, 22.56
2025-02-04T15:06:13.840106+00:00, 22.56
2025-02-04T15:06:15.786158+00:00, 22.56
2025-02-04T15:06:17.834096+00:00, 22.56
2025-02-04T15:06:19.779634+00:00, 22.56
2025-02-04T15:06:21.827700+00:00, 22.56
2025-02-04T15:06:23.773473+00:00, 22.56
2025-02-04T15:06:25.821161+00:00, 22.56
2025-02-04T15:06:27.767153+00:00, 22.56
2025-02-04T15:06:29.814910+00:00, 22.50
2025-02-04T15:06:31.760410+00:00, 22.56
2025-02-04T15:06:33.808682+00:00, 22.56
